,serch_keyword,job_title,company_name,job_posted_date,job_location,job_link
113,data-science,  Software Engineer (m/f/d)  , Med-el Elektromedizinische Geräte GmbH ,7.2.2022,Innsbruck,https://www.karriere.at/jobs/6008386
114,data-science,  Software Engineering Lead - Data  , Raiffeisen Bank International AG ,7.2.2022,Vienna,https://www.karriere.at/jobs/5999281
115,data-science,  IT Architect/Technical Product Owner (f/m/d)  , Kapsch BusinessCom AG ,7.2.2022,Vienna,https://www.karriere.at/jobs/5929629
116,data-science,  Internship in Digital Development (m/f/d) for at least 6 months  , INNIO Jenbacher ,7.2.2022,Jenbach,https://www.karriere.at/jobs/6045094
117,data-science,  (Senior) AI DevOps Engineer (m/w/d)  , XXXLdigital – Part of XXXL Group ,7.2.2022,Vienna,https://www.karriere.at/jobs/5909979
118,data-science,  Werkstudent für das Chemielabor (f/m/d)  , delfort ,7.2.2022,Traun,https://www.karriere.at/jobs/6026587
119,data-science,  Analyst - Value Chain Optimisation (f/m/d)  , HOFER KG ,7.2.2022,Wals,https://www.karriere.at/jobs/5993371
120,data-science,  Data Governance Manager:in  , Energie Graz GmbH & Co KG ,7.2.2022,Graz,https://www.karriere.at/jobs/5981197
121,data-science,  Data Analyst (f/m/d)  , IKEA Austria GmbH ,7.2.2022,Vösendorf,https://www.karriere.at/jobs/5897259
122,data-science,  Student Job (f/m/x) – IT Business Analyst (25 h/week)  , Raiffeisen Bank International AG ,7.2.2022,Vienna,https://www.karriere.at/jobs/5999479
123,data-science,  Senior Data Engineer  , Raiffeisen Bank International AG ,7.2.2022,Vienna,https://www.karriere.at/jobs/5999290
124,data-science,  Data Engineer (w/m/div)*  , Infineon Technologies Austria AG ,7.2.2022,Villach,https://www.karriere.at/jobs/5910113
125,data-science,  Data Engineer (w/m/d)  , KERN engineering careers GmbH ,7.2.2022,Gmunden,https://www.karriere.at/jobs/6046681
126,data-science,  Human Resources/ Personal Mitarbeiter:in (m/w/d)  , solvistas ,7.2.2022,Linz,https://www.karriere.at/jobs/6003982
127,data-science,  IT Platform Administrator - Data & Analytics solutions (f/m/d)  , Swarovski ,7.2.2022,Wattens,https://www.karriere.at/jobs/5954197
128,data-science,  Backend Developer (m/f/d) Behaviour Science  , AIT Austrian Institute of Technology GmbH ,7.2.2022,Vienna,https://www.karriere.at/jobs/5964730
129,data-science,  Head of Operations / Deputy Head of Department (f/m/x) - Life Science  , Talentor Austria GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/6042127
130,data-science,  Data Engineer (w/m/d)  , KERN engineering careers GmbH ,6.2.2022,Enns,https://www.karriere.at/jobs/6026947
131,data-science,  IT System Administrator Junior (m/w/d)  , starlim und sterner – Starlim Spritzguss GmbH ,6.2.2022,Marchtrenk,https://www.karriere.at/jobs/5845351
